took_pre_CC,took_post_CC,CC_ConsensusTemp_pre,CC_Important_pre,CC_HarmPeople_pre,CC_ScientistsWhether_pre,CC_Beliefs_pre,CC_Worried_pre,CC_BeliefsFillIn_pre,CC_ChangeMind_pre,CC_Validation_pre,CC_HarmYou_pre,CC_ScientistsWhy_pre,CC_Happening_pre,CC_ConsensusCause_pre,CC_Thought_pre,CC_Friends_pre,CC_View_pre,CC_HarmPeople_post,CC_Thought_post,CC_Beliefs_post,CC_Worried_post,CC_ConsensusCause_post,CC_View_post,CC_ScientistsWhether_post,CC_BeliefsFillIn_post,CC_ChangeMind_post,CC_ConsensusTemp_post,CC_Validation_post,CC_Important_post,CC_Friends_post,CC_ChangedMe_post,CC_HarmYou_post,CC_Happening_post,CC_ScientistsWhy_post
1,1,SomewhatAgree,Very,Years51to100,StronglyAgree,Both,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,Neither,YesExtrSure,DK,Some,Most,Unwilling,Now,Little,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Very,Years11to25,StronglyAgree,Both,Somewhat,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Both,Some,All,Unwilling,,,,,,,,,,,,,,,,,
1,1,DK,Very,Years11to25,DK,Humans,Somewhat,,SomewhatDisagree,DK,Moderate,DK,YesSomeSure,Humans,Some,Few,Unwilling,Years11to25,Some,Humans,Somewhat,Humans,Unwilling,SomewhatAgree,,SomewhatDisagree,Neither,SomewhatAgree,Very,Some,StronglyAgree,GreatDeal,YesVerySure,StronglyAgree
1,0,StronglyAgree,Neither,Years51to100,StronglyAgree,Both,Somewhat,,Neither,SomewhatAgree,Little,StronglyAgree,YesExtrSure,Humans,Some,Some,Unclear,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,After100,Some,Humans,Somewhat,Humans,Unclear,Neither,,Neither,Neither,Neither,Very,Some,SomewhatAgree,Little,YesSomeSure,Neither
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,Neither,Years51to100,SomewhatAgree,Humans,Somewhat,,Neither,SomewhatAgree,Little,SomewhatAgree,YesSomeSure,Both,Little,Some,Unwilling,Years10,Little,Humans,Somewhat,Humans,Unclear,StronglyAgree,,Neither,SomewhatAgree,SomewhatAgree,Neither,Few,SomewhatAgree,Moderate,YesVerySure,StronglyAgree
1,1,StronglyAgree,Very,Now,SomewhatAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,GreatDeal,SomewhatDisagree,YesExtrSure,DK,Some,Some,Unwilling,Years26to50,Little,Humans,Very,Humans,Unclear,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Very,Most,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,Neither,Now,StronglyAgree,Both,Somewhat,,SomewhatAgree,SomewhatAgree,Little,SomewhatAgree,YesExtrSure,Humans,Little,Most,Success,,,,,,,,,,,,,,,,,
1,1,,Very,Now,StronglyAgree,Humans,Very,,SomewhatDisagree,StronglyAgree,GreatDeal,,YesExtrSure,Humans,ALot,Most,Unwilling,Now,ALot,Humans,Very,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,StronglyAgree,Extremely,Most,Neither,GreatDeal,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Years26to50,Some,Humans,Somewhat,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Some,StronglyAgree,Little,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,Very,Now,StronglyAgree,Both,Very,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Both,Some,All,Unwilling,,,,,,,,,,,,,,,,,
1,0,Neither,Very,Now,SomewhatAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Humans,ALot,Some,Unclear,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Neither,Now,StronglyAgree,Both,Somewhat,,SomewhatAgree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Both,Little,All,Success,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Years26to50,Some,Humans,Very,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,StronglyDisagree,Moderate,YesExtrSure,StronglyAgree
1,0,Neither,Neither,Years51to100,Neither,ExtentUnknown,Somewhat,,Neither,Neither,Little,Neither,YesSomeSure,Other,Some,DK,Unclear,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,MostlyNot,Now,StronglyAgree,Humans,Somewhat,,StronglyAgree,SomewhatAgree,Little,SomewhatAgree,YesVerySure,Humans,Some,DK,Unwilling,Now,Little,Humans,Somewhat,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesExtrSure,StronglyAgree
1,0,StronglyAgree,MostlyNot,Years10,Neither,Other,Somewhat,Climate change is a naturally occurring phenomenon (such as the Ice Age) but humans are causing it to happen at a much faster pace.,StronglyDisagree,SomewhatAgree,Little,SomewhatDisagree,NoVerySure,Humans,Little,Few,Unwilling,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Neither,Years10,StronglyAgree,Humans,Somewhat,,SomewhatAgree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Humans,Some,All,Unclear,Years10,Some,Humans,Somewhat,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,StronglyAgree,DK,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,Very,Now,Neither,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,GreatDeal,Neither,YesSomeSure,Both,Some,Some,Unclear,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Very,Years51to100,DK,Other,Very,I don't know enough about climate change to state whether it is caused mostly by human activities or by natural changes in the environment,Neither,SomewhatAgree,Moderate,DK,DK,Both,ALot,DK,Unclear,Years26to50,Some,Humans,Somewhat,Humans,Unclear,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Very,All,SomewhatAgree,Somewhat,YesSomeSure,StronglyAgree
1,0,StronglyAgree,Neither,Now,StronglyAgree,Humans,Neither,,SomewhatDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,Some,Most,Unwilling,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Extremely,Years10,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,SomewhatAgree,YesExtrSure,Humans,ALot,All,Unclear,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Years26to50,Some,Humans,Somewhat,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Neither,Most,Neither,Little,YesVerySure,StronglyAgree
1,1,SomewhatAgree,MostlyNot,Years51to100,SomewhatAgree,Both,Neither,,Neither,SomewhatAgree,Little,SomewhatDisagree,YesVerySure,DK,Little,DK,Unclear,Years26to50,Little,Other,Somewhat,Humans,Unwilling,StronglyAgree,"Climate change is a natural process, however, it is being highly and negatively impacted by human interaction.",SomewhatDisagree,StronglyAgree,SomewhatAgree,Neither,Some,SomewhatAgree,Little,YesSomeSure,SomewhatAgree
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Now,ALot,Humans,Somewhat,Humans,Unclear,StronglyAgree,,SomewhatDisagree,SomewhatAgree,SomewhatAgree,Very,Most,Neither,DK,YesExtrSure,SomewhatAgree
1,0,,,,,,,,,,,,YesVerySure,,,,,,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,Very,Years26to50,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Little,SomewhatAgree,YesExtrSure,DK,Some,DK,Unclear,Years51to100,Little,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Extremely,Years11to25,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,,Success,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,Most,Neither,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Neither,After100,StronglyAgree,Humans,Somewhat,,Neither,SomewhatAgree,Little,StronglyAgree,YesExtrSure,Humans,NotAtAll,Some,Unwilling,Now,Little,Humans,Very,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,Very,Years11to25,SomewhatAgree,Both,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,Neither,YesVerySure,Both,Some,Most,Unclear,Now,Some,Both,Somewhat,Both,Unclear,SomewhatAgree,,Neither,SomewhatAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesVerySure,SomewhatAgree
1,1,StronglyAgree,Neither,Years11to25,StronglyAgree,Humans,Somewhat,,SomewhatAgree,SomewhatAgree,Little,SomewhatAgree,YesVerySure,Humans,Little,Most,Unclear,Years11to25,ALot,Humans,Somewhat,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Neither,Most,SomewhatAgree,DK,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,Neither,After100,DK,Both,Neither,,StronglyAgree,SomewhatAgree,Somewhat,DK,YesNotSure,Humans,Little,DK,Unclear,Years26to50,Little,Humans,Somewhat,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,DK,StronglyAgree,Moderate,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Very,Years11to25,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unwilling,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Both,ALot,Most,Unwilling,Now,ALot,Humans,Very,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,Most,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Very,Years26to50,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Somewhat,SomewhatAgree,YesVerySure,Humans,ALot,DK,Unclear,Now,Little,Humans,Somewhat,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,DK,SomewhatAgree,Little,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Very,Years26to50,StronglyAgree,Both,Somewhat,,StronglyDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Both,Some,All,Unwilling,Now,Some,Humans,Very,Humans,Unwilling,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Very,Years26to50,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Humans,Some,Few,Unwilling,,,,,,,,,,,,,,,,DK,
1,1,StronglyAgree,Neither,Now,SomewhatAgree,Humans,Neither,,SomewhatAgree,StronglyDisagree,Little,Neither,YesSomeSure,DK,Little,DK,Unclear,Now,Little,Humans,Somewhat,Humans,Unwilling,SomewhatAgree,,SomewhatAgree,SomewhatAgree,SomewhatAgree,Very,DK,SomewhatAgree,Moderate,YesVerySure,Neither
1,1,SomewhatAgree,Neither,Years26to50,SomewhatAgree,Both,Neither,,Neither,SomewhatAgree,Moderate,SomewhatDisagree,YesNotSure,Both,NotAtAll,DK,Unclear,Now,NotAtAll,Humans,Somewhat,Humans,Unclear,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Neither,Few,StronglyAgree,Moderate,YesVerySure,StronglyAgree
1,0,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unwilling,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Very,After100,Neither,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,GreatDeal,SomewhatAgree,YesNotSure,Humans,Little,Some,Unwilling,Now,Little,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Very,Few,StronglyAgree,Moderate,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,Neither,After100,SomewhatAgree,Both,Somewhat,,SomewhatDisagree,Neither,Moderate,SomewhatDisagree,YesVerySure,Both,Little,Some,Unwilling,Years26to50,Some,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,,SomewhatAgree,Little,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,MostlyNot,Years51to100,SomewhatAgree,Humans,NotVery,,SomewhatAgree,SomewhatAgree,Little,SomewhatAgree,YesSomeSure,Humans,Little,DK,Unwilling,Years51to100,NotAtAll,Humans,,Humans,Unclear,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,MostlyNot,DK,SomewhatAgree,Little,YesVerySure,StronglyAgree
1,1,StronglyAgree,Extremely,Years11to25,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Humans,ALot,All,Unwilling,Years11to25,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,,StronglyDisagree,Moderate,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Very,Now,StronglyAgree,Humans,Very,,StronglyAgree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,Some,None,Unclear,Now,Some,Humans,Somewhat,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,None,Neither,GreatDeal,YesExtrSure,StronglyAgree
1,1,SomewhatDisagree,Very,Years11to25,SomewhatAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,ALot,Most,Unwilling,Now,Little,Humans,Very,Humans,Unwilling,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,DK,SomewhatAgree,Moderate,YesExtrSure,SomewhatAgree
1,0,Neither,Neither,Years10,Neither,Both,Neither,,Neither,Neither,Little,Neither,YesExtrSure,Other,Some,Some,Unclear,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Very,Now,StronglyAgree,Humans,Neither,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesVerySure,DK,Some,Most,Unwilling,Now,Some,Humans,Very,Humans,NotHappening,SomewhatAgree,,StronglyDisagree,SomewhatAgree,SomewhatAgree,Very,Few,SomewhatAgree,GreatDeal,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,MostlyNot,Years26to50,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,Some,Most,Unclear,,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,Very,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unwilling,Now,ALot,Humans,Very,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,Most,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Very,Now,StronglyAgree,Humans,Very,,Neither,SomewhatAgree,GreatDeal,SomewhatAgree,YesExtrSure,DK,Little,Most,Unclear,Now,Some,Humans,Very,Humans,Unclear,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Extremely,Most,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,,,,,,,,,,,,,,,,,Years10,Some,Humans,Somewhat,Humans,Unclear,SomewhatAgree,,Neither,SomewhatAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesSomeSure,SomewhatAgree
1,1,StronglyAgree,Neither,Years51to100,StronglyAgree,Both,Somewhat,,SomewhatDisagree,SomewhatAgree,DK,SomewhatAgree,YesVerySure,DK,Some,Most,Unclear,Years10,Little,Humans,Somewhat,Humans,Unclear,SomewhatAgree,,Neither,StronglyAgree,SomewhatAgree,Very,All,StronglyAgree,GreatDeal,YesVerySure,StronglyAgree
1,0,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Little,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,All,Unclear,,,,,,,,,,,,,,,,,
1,1,SomewhatDisagree,Very,Years11to25,SomewhatAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,DK,SomewhatDisagree,YesSomeSure,NoConsensus,Some,Most,Unwilling,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Extremely,Years10,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,ALot,Most,Unwilling,Now,ALot,Humans,Very,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,Most,StronglyDisagree,GreatDeal,YesVerySure,SomewhatAgree
1,1,Neither,MostlyNot,After100,SomewhatAgree,Both,Neither,,SomewhatAgree,SomewhatAgree,DK,SomewhatAgree,YesNotSure,DK,Little,Most,Unclear,After100,Little,Humans,Neither,Humans,Unwilling,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,MostlyNot,Most,StronglyAgree,Little,YesVerySure,StronglyAgree
1,0,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,Neither,Years26to50,SomewhatAgree,Both,Somewhat,,SomewhatAgree,SomewhatAgree,Moderate,StronglyAgree,YesVerySure,Both,Some,Some,Unclear,Now,Some,Humans,Somewhat,DK,Unwilling,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,,Very,Years51to100,,Humans,Somewhat,,SomewhatDisagree,,Little,,YesExtrSure,,,,,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Years11to25,Little,Humans,Somewhat,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,Very,After100,SomewhatAgree,Other,Somewhat,"I believe it needs to be addressed and treated with scientific backings to encourage open thought, yet scientifically proved. We need to encourage each other to share our beliefs and see how we can find common ground on scientific data",SomewhatAgree,SomewhatAgree,DK,SomewhatAgree,NoVerySure,Humans,ALot,Some,Unclear,Years26to50,Some,Humans,Somewhat,Humans,Unclear,StronglyAgree,,SomewhatAgree,StronglyAgree,StronglyAgree,Very,Few,SomewhatAgree,Moderate,YesSomeSure,StronglyAgree
1,0,DK,MostlyNot,Now,SomewhatAgree,Both,Somewhat,,Neither,SomewhatAgree,GreatDeal,SomewhatAgree,YesSomeSure,DK,NotAtAll,DK,Unwilling,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,Now,Some,Humans,Very,Humans,Unclear,DK,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,DK,Neither,DK,YesExtrSure,StronglyAgree
1,0,,NotAtAll,NotHappening,,NotHappening,NotVery,,SomewhatAgree,,Little,,NoNotSure,,,,,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatDisagree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,Few,Unwilling,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Very,Years26to50,StronglyAgree,Both,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,Little,Most,Unwilling,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Now,Some,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,Most,StronglyAgree,GreatDeal,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,Very,Now,SomewhatAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,SomewhatAgree,YesExtrSure,Humans,Some,Most,Unclear,Now,Little,Humans,Very,Both,Unclear,SomewhatAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,All,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyDisagree,Very,Years11to25,SomewhatDisagree,Both,Somewhat,,Neither,SomewhatAgree,Moderate,SomewhatDisagree,YesNotSure,DK,Little,DK,Unclear,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Very,Years11to25,StronglyAgree,Both,Very,,SomewhatDisagree,SomewhatDisagree,Moderate,SomewhatAgree,YesExtrSure,Both,Some,Most,Unwilling,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Neither,Years51to100,SomewhatAgree,Humans,Somewhat,,SomewhatAgree,SomewhatAgree,Somewhat,SomewhatAgree,YesSomeSure,Humans,Little,Some,Unclear,Now,Little,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,SomewhatAgree,StronglyAgree,SomewhatAgree,Very,,StronglyAgree,Somewhat,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,All,Unclear,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Years26to50,Little,Humans,Neither,Humans,Success,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatDisagree,Very,All,StronglyDisagree,Moderate,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Now,Some,Humans,Somewhat,DK,Unclear,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,Very,Now,SomewhatAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,GreatDeal,SomewhatAgree,YesExtrSure,Humans,Some,DK,Unwilling,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Extremely,Now,SomewhatAgree,Humans,Very,,Neither,SomewhatAgree,DK,StronglyAgree,YesSomeSure,DK,Some,All,Unclear,Now,Little,Humans,Very,Humans,Unclear,StronglyDisagree,,SomewhatDisagree,StronglyDisagree,StronglyDisagree,Extremely,All,StronglyAgree,DK,YesExtrSure,StronglyDisagree
