took_pre_CC,took_post_CC,CCPre_ScientistsWhy_pre,CCPre_ScientistsWhether_pre,CCPre_Happening_pre,CCPre_Causes_pre,CCPre_Worried_pre,CCPre_ConsensusCause_pre,CCPre_Thought_pre,CCPost_Worried_post,CCPost_ScientistsWhy_post,CCPost_Validation_post,CCPost_ScientistsWhether_post,CCPost_Thought_post,CCPost_Causes_post,CCPost_ConsensusCause_post,CCPost_Happening_post,CCPost_ChangedMe_post
1,0,StronglyAgree,StronglyAgree,YesExtrSure,NatHum,Very,Both,ALot,,,,,,,,,
0,1,,,,,,,,Somewhat,StronglyAgree,StronglyAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Both,Little,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Little,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,,,,,,,,Very,StronglyAgree,StronglyAgree,StronglyAgree,ALot,HumNat,Both,YesExtrSure,Neither
1,0,,,YesExtrSure,NatHum,Very,,,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,EqualHumNat,Somewhat,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
1,0,,,YesSomeSure,NatHum,Somewhat,,,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesNotSure,HumNat,Neither,Both,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,EqualHumNat,Somewhat,Both,Little,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,Neither,Neither,YesVerySure,EqualHumNat,Somewhat,DK,Little,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Both,ALot,,,,,,,,,
1,0,SomewhatAgree,SomewhatAgree,YesSomeSure,EqualHumNat,NotVery,Humans,Little,,,,,,,,,
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,EqualHumNat,Somewhat,DK,Little,,,,,,,,,
1,0,SomewhatAgree,StronglyAgree,YesVerySure,EqualHumNat,Neither,Both,Little,,,,,,,,,
0,1,,,,,,,,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,ALot,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Very,Humans,Little,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,SomewhatAgree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,0,,,YesExtrSure,HumNat,Very,,,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,DK,HumNat,Somewhat,DK,Little,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,Natural,YesSomeSure,SomewhatAgree
1,0,Neither,Neither,YesSomeSure,NatHum,Somewhat,Both,Little,,,,,,,,,
1,0,SomewhatAgree,SomewhatAgree,YesExtrSure,EqualHumNat,Somewhat,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,Very,Neither,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
1,0,SomewhatAgree,SomewhatDisagree,YesExtrSure,,Somewhat,Humans,,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Both,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,StronglyAgree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
0,1,,,,,,,,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
0,1,,,,,,,,Somewhat,SomewhatDisagree,Neither,StronglyDisagree,ALot,HumNat,Other,YesExtrSure,Neither
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,Neither,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,Very,Neither,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,,,YesExtrSure,EqualHumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,StronglyAgree
1,1,SomewhatDisagree,SomewhatDisagree,YesVerySure,NatHum,Neither,NotHappening,Some,NotAtAll,StronglyDisagree,DK,SomewhatAgree,NotAtAll,NatHum,Natural,YesSomeSure,Neither
1,0,,,,,,,,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Very,Humans,Some,,,,,,,,,
1,0,,,YesExtrSure,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,1,DK,StronglyDisagree,YesExtrSure,HumNat,Very,Humans,ALot,Somewhat,StronglyAgree,StronglyAgree,StronglyAgree,ALot,Other,Natural,YesExtrSure,StronglyDisagree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,EqualHumNat,Very,Both,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,EqualHumNat,Humans,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,SomewhatAgree,YesVerySure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Both,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,StronglyAgree
1,0,StronglyAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,0,Neither,Neither,DK,Other,Neither,Other,Some,,,,,,,,,
1,1,SomewhatDisagree,SomewhatDisagree,YesSomeSure,HumNat,Somewhat,Humans,Little,Somewhat,SomewhatDisagree,SomewhatAgree,SomewhatDisagree,Little,HumNat,Humans,YesSomeSure,SomewhatAgree
0,1,,,,,,,,Very,StronglyDisagree,SomewhatAgree,StronglyDisagree,ALot,HumNat,Humans,YesVerySure,Neither
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Somewhat,DK,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,Neither
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Humans,Little,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,Humans,YesVerySure,SomewhatAgree
0,1,,,,,,,,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Very,Humans,ALot,,,,,,,,,
1,0,Neither,StronglyAgree,YesSomeSure,Unknowable,NotVery,Humans,Little,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Very,Humans,Some,Very,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,EqualHumNat,Very,Humans,ALot,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Both,Little,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Neither,Humans,Little,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Natural,YesVerySure,Neither
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Both,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,StronglyAgree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,EqualHumNat,Very,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Little,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,NotHappening,Both,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Neither,DK,NotAtAll,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,EqualHumNat,Somewhat,Both,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Some,NatHum,Natural,YesVerySure,SomewhatAgree
1,1,Neither,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Both,YesExtrSure,Neither
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesSomeSure,HumNat,Somewhat,Humans,Some,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,SomewhatAgree
0,1,,,,,,,,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
1,1,,,,,,,,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Very,Both,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Very,DK,Some,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Somewhat,Natural,ALot,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Both,YesExtrSure,Neither
1,1,SomewhatAgree,StronglyAgree,,HumNat,Somewhat,,,Neither,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Both,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,StronglyAgree
1,0,,,,,,,,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,ALot,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,NatHum,Humans,YesExtrSure,SomewhatAgree
1,0,,,,,,,,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,NoConsensus,Some,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,NatHum,Somewhat,Both,Some,NotVery,DK,SomewhatAgree,DK,Some,HumNat,Humans,YesExtrSure,StronglyDisagree
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Very,Both,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,DK,NotAtAll,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesVerySure,NatHum,Very,Both,ALot,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesVerySure,Neither
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,ALot,Neither,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,StronglyDisagree
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,NatHum,Very,Humans,ALot,Very,StronglyAgree,StronglyAgree,StronglyAgree,,EqualHumNat,Both,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Both,Some,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,EqualHumNat,Humans,YesVerySure,Neither
1,1,,,YesExtrSure,HumNat,Somewhat,,,Very,StronglyAgree,StronglyAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Very,DK,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,EqualHumNat,Somewhat,Both,Some,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,EqualHumNat,Both,YesVerySure,Neither
1,0,,,YesVerySure,HumNat,Somewhat,,,,,,,,,,,
1,1,Neither,Neither,YesSomeSure,HumNat,Neither,Both,Little,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,DK,DK,YesVerySure,EqualHumNat,Somewhat,DK,Some,NotVery,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,NatHum,Both,YesNotSure,SomewhatAgree
1,1,,,,,Very,,,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatDisagree
1,1,StronglyDisagree,DK,YesExtrSure,EqualHumNat,Somewhat,Humans,Some,Very,StronglyAgree,StronglyAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,DK,Some,Very,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesVerySure,Neither
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,ALot,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,ALot,HumNat,NoConsensus,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Little,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,Neither,YesNotSure,HumNat,Neither,DK,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,StronglyAgree
1,1,SomewhatDisagree,SomewhatAgree,YesExtrSure,HumNat,Somewhat,NoConsensus,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Somewhat,NoConsensus,Some,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,NoConsensus,YesExtrSure,Neither
1,0,Neither,Neither,YesVerySure,HumNat,Neither,Humans,Little,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,DK,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,NatHum,Humans,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,EqualHumNat,Somewhat,Humans,Little,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Neither,Humans,Little,Somewhat,StronglyAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,Humans,YesVerySure,SomewhatAgree
1,0,Neither,StronglyAgree,YesNotSure,,NotVery,Humans,Little,,,,,,,,,
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,NotAtAll,,,,,,,,,
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Little,,,,,,,,,
1,1,SomewhatDisagree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatDisagree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,ALot,Neither,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,ALot,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatDisagree
1,0,StronglyDisagree,StronglyDisagree,NoVerySure,NatAct,NotAtAll,Humans,ALot,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Humans,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,NatChange,Natural,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Somewhat,Humans,ALot,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Little,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Little,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,Little,HumNat,DK,YesExtrSure,SomewhatAgree
1,0,Neither,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,0,StronglyAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,Little,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Some,NatHum,Natural,YesVerySure,Neither
1,1,Neither,SomewhatAgree,YesNotSure,EqualHumNat,NotVery,DK,Little,NotVery,StronglyAgree,SomewhatAgree,StronglyAgree,Little,EqualHumNat,Humans,YesSomeSure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
1,1,Neither,SomewhatAgree,YesNotSure,NatHum,NotVery,DK,Little,Neither,Neither,SomewhatAgree,SomewhatAgree,Little,NatHum,DK,YesNotSure,SomewhatDisagree
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,NotVery,Humans,Little,NotVery,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,SomewhatDisagree
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Both,Little,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Both,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,NoVerySure,EqualHumNat,Neither,Both,Some,Neither,Neither,Neither,Neither,Some,Other,Other,YesNotSure,SomewhatDisagree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,Some,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,,,,,,,,,
